name,line,end,kind,signature,intent,consumers,consumer_count,exposed_to_dom,refs,status
"loadTopicPoolForPreview",4487,4550,async,"topic","Util: load+memoize a topic's full prototype pool from its manifest(s) (topic.path/paths).","warmTeacherModalStatsForStudent",1,no,7,called
"buildQuestionForPreview",4551,4576,sync,"manifest, type, proto","Util: build a preview question (ids, titles, stem, figure, badge ids) from manifest/type/proto.","buildPreviewQuestionsFromResolveRows",1,no,7,called
"normalizeResolveReqArray",4577,4597,sync,"source","Util: normalize a choice map/array into [{id,n}] entries with positive n.","buildTeacherResolveSelection",1,no,4,called
"buildResolveBucketKey",4598,4607,sync,"scopeKind, scopeId","Util: build a canonical 'proto:/topic:/section:' bucket key from a scope kind+id.","pickQuestionsViaTeacherScreenResolveBatch|getResolveRowBucketKey",2,no,3,called
"getResolveRowBucketKey",4608,4629,sync,"row","Util: derive the bucket key for a resolved RPC row (handles global_all and id aliases).","buildPreviewQuestionsFromResolveRows",1,no,2,called
"getTeacherResolveManifestIndex",4630,4666,async,"manifestPath","Teacher: fetch+cache a manifest and build a question-id -> {manifest,type,proto} index.","buildPreviewQuestionsFromResolveRows",1,no,2,called
"buildPreviewQuestionsFromResolveRows",4667,4760,async,"{ rows, wantsByBucket, excludeQuestionIds = [], } = {}","Teacher: turn resolved RPC rows into preview questions per bucket, dedup up to wanted counts.","pickQuestionsViaTeacherScreenResolve|pickQuestionsViaTeacherScreenResolveBatch",2,no,3,called
"getAddedTasksRenderSignature",4761,4772,sync,"questions = [], opts = {}","Teacher: compute a signature of the added-tasks list (context+total+ordered ids) for reuse.","openAddedTasksModal|openAddedTasksModalFast|renderAddedTasksPreview",3,no,4,called
"hydrateAddedTasksModalBadgesFromCache",4773,4813,sync,"questions = []","Teacher: fill added-task card badges from cached aggregates without a network call.","openAddedTasksModalFast",1,no,2,called
"refreshAddedTasksModalBadges",4814,4877,async,"questions = []","Teacher: fetch and render per-card student stat/date badges in the added-tasks modal.","refreshAddedTasksModalView",1,no,2,called
"refreshAddedTasksModalView",4878,4884,async,"questions, opts = {}","Teacher: render the added-tasks preview, typeset math, then refresh badges.","syncAddedTasksToSelection|openAddedTasksModal|openAddedTasksModalFast",3,no,4,called
"renderAddedTasksPreview",4885,4994,sync,"questions, opts = {}","Teacher: render added-task cards (numbering, badges, section/topic meta, stem, figure) + meta.","refreshAddedTasksModalView",1,no,2,called
"saveSelectionAndGo",4995,5110,async,"","Both: finalize selection, build frozen questions, create a session link, navigate to trainer/list.","initAuthHeader",1,no,5,called
"esc",5111,5119,sync,"s","Util: HTML-escape a string (ampersand/lt/gt/quote).","renderSectionNode|renderTopicRow",2,no,3,called
"compareId",5120,5131,sync,"a, b","Util: numeric dotted-id comparator (e.g. '1.2' < '1.10') for sorting.","loadCatalog|openProtoPickerModal|sortAddedQuestions|syncAddedTasksToSelection|buildPreviewQuestionsFromResolveRows",5,no,10,called
